                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5092,                0.00847,                0.04661,                 5.4629,             0.00023333,             0.00023333,             0.00023333
                      2,                 4.9266,                0.03814,                0.10169,                 5.4579,               0.000448,               0.000448,               0.000448
                      3,                 4.1888,                0.09322,                0.20763,                 5.4335,             0.00063911,             0.00063911,             0.00063911
                      4,                 3.2978,                 0.1822,                0.38136,                 5.3951,             0.00060797,             0.00060797,             0.00060797
                      5,                 2.5003,                   0.25,                0.44068,                  5.364,             0.00057263,             0.00057263,             0.00057263
                      6,                  1.893,                 0.2839,                 0.4661,                 5.3261,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.4415,                0.29237,                0.49576,                 5.2992,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.1095,                0.31356,                0.50424,                 5.2821,              0.0004666,              0.0004666,              0.0004666
                      9,                 0.9157,                0.32627,                0.50847,                 5.2558,             0.00043126,             0.00043126,             0.00043126
                     10,                 0.7303,                0.34746,                 0.5339,                 5.2486,             0.00039591,             0.00039591,             0.00039591
                     11,                0.59604,                0.32627,                0.54237,                 5.2443,             0.00036057,             0.00036057,             0.00036057
                     12,                0.49514,                0.34746,                0.52966,                 5.2295,             0.00032523,             0.00032523,             0.00032523
                     13,                0.43323,                0.36441,                 0.5339,                 5.2228,             0.00028988,             0.00028988,             0.00028988
                     14,                0.41698,                0.35169,                0.53814,                 5.2292,             0.00025454,             0.00025454,             0.00025454
                     15,                0.37075,                0.35169,                0.54237,                 5.2199,              0.0002192,              0.0002192,              0.0002192
                     16,                0.31806,                0.35593,                0.55508,                 5.2197,             0.00018385,             0.00018385,             0.00018385
                     17,                0.32881,                0.34746,                0.55508,                 5.2237,             0.00014851,             0.00014851,             0.00014851
                     18,                0.31793,                0.35169,                0.54237,                  5.221,             0.00011317,             0.00011317,             0.00011317
                     19,                0.28761,                0.34322,                0.55508,                 5.2175,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.27463,                0.35593,                0.55085,                 5.2227,             4.2483e-05,             4.2483e-05,             4.2483e-05
