                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5028,                0.00424,                0.02966,                 5.4632,             0.00023333,             0.00023333,             0.00023333
                      2,                 5.0152,                0.02119,                0.08051,                   5.46,               0.000448,               0.000448,               0.000448
                      3,                 4.4426,                0.07627,                 0.2161,                 5.4418,             0.00063911,             0.00063911,             0.00063911
                      4,                 3.6747,                0.14407,                0.30085,                 5.3988,             0.00060797,             0.00060797,             0.00060797
                      5,                 2.9733,                0.20763,                0.41525,                 5.3684,             0.00057263,             0.00057263,             0.00057263
                      6,                  2.357,                0.25424,                0.46186,                 5.3322,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.8924,                0.30932,                0.48729,                 5.2952,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.5084,                0.34322,                0.51695,                 5.2803,              0.0004666,              0.0004666,              0.0004666
                      9,                 1.2619,                0.34746,                0.54661,                 5.2587,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.0303,                0.35593,                0.58898,                 5.2409,             0.00039591,             0.00039591,             0.00039591
                     11,                0.87811,                0.35169,                0.58051,                 5.2369,             0.00036057,             0.00036057,             0.00036057
                     12,                0.71328,                0.36864,                0.59746,                 5.2208,             0.00032523,             0.00032523,             0.00032523
                     13,                0.61965,                0.38136,                0.57627,                  5.212,             0.00028988,             0.00028988,             0.00028988
                     14,                0.57003,                0.37288,                0.59746,                 5.2178,             0.00025454,             0.00025454,             0.00025454
                     15,                0.51406,                0.38136,                0.60169,                 5.2072,              0.0002192,              0.0002192,              0.0002192
                     16,                0.45527,                0.39831,                0.60169,                 5.2088,             0.00018385,             0.00018385,             0.00018385
                     17,                0.45526,                0.38559,                0.59746,                 5.2036,             0.00014851,             0.00014851,             0.00014851
                     18,                0.40945,                0.38559,                0.60593,                 5.2046,             0.00011317,             0.00011317,             0.00011317
                     19,                0.39765,                0.40254,                0.61017,                 5.1971,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.37579,                0.40254,                0.60593,                 5.2004,             4.2483e-05,             4.2483e-05,             4.2483e-05
